                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.84842,                0.67742,                 1.0566,                0.85844,                0.70719,                0.80239,                0.62002,                0.89253,                0.78419,                 1.0806,             0.00064338,             0.00064338,             0.00064338
                     35,                0.86581,                0.66943,                 1.0671,                0.84463,                0.71021,                 0.7794,                 0.5942,                0.88997,                0.83328,                 1.0772,             0.00063958,             0.00063958,             0.00063958
                     36,                 0.8367,                0.67377,                 1.0523,                0.78452,                 0.7677,                0.80903,                0.61143,                0.88654,                0.80008,                 1.0928,             0.00063577,             0.00063577,             0.00063577
                     37,                0.83658,                0.66952,                 1.0529,                0.83759,                0.73416,                0.80446,                0.62008,                0.90561,                 0.8172,                 1.0887,             0.00063196,             0.00063196,             0.00063196
                     38,                0.82665,                0.66548,                 1.0545,                0.75732,                0.78433,                0.79655,                0.60026,                0.89151,                0.78051,                 1.0886,             0.00062816,             0.00062816,             0.00062816
                     39,                0.81233,                0.64175,                  1.039,                0.81676,                0.72447,                0.81089,                0.63143,                 0.8928,                0.82845,                 1.0873,             0.00062435,             0.00062435,             0.00062435
                     40,                0.80889,                0.64572,                 1.0314,                 0.8306,                0.76175,                0.81883,                0.63206,                0.90224,                0.79319,                 1.0935,             0.00062054,             0.00062054,             0.00062054
                     41,                0.80929,                0.63708,                 1.0302,                0.85693,                0.75311,                0.81061,                0.63997,                0.86396,                0.78512,                 1.0638,             0.00061674,             0.00061674,             0.00061674
                     42,                0.79955,                0.64353,                 1.0297,                0.79981,                0.75956,                0.81016,                0.64016,                0.87623,                0.81449,                 1.0779,             0.00061293,             0.00061293,             0.00061293
                     43,                0.78145,                0.60937,                 1.0202,                0.77908,                 0.7755,                0.80846,                0.63999,                0.86402,                0.75782,                 1.0712,             0.00060912,             0.00060912,             0.00060912
                     44,                0.79874,                0.62408,                  1.027,                0.84335,                0.73817,                 0.8157,                0.62802,                0.86745,                0.74527,                 1.0616,             0.00060532,             0.00060532,             0.00060532
                     45,                0.77812,                0.60677,                 1.0242,                0.85885,                0.73714,                 0.7987,                 0.6382,                0.87038,                0.78505,                  1.067,             0.00060151,             0.00060151,             0.00060151
                     46,                0.78215,                0.59753,                 1.0181,                0.84423,                 0.7684,                0.81619,                 0.6472,                0.83386,                0.75562,                 1.0536,             0.00059771,             0.00059771,             0.00059771
                     47,                0.76582,                0.59407,                 1.0105,                0.85642,                  0.725,                0.80983,                0.64555,                0.83408,                0.76252,                 1.0512,              0.0005939,              0.0005939,              0.0005939
                     48,                0.76221,                0.60038,                 1.0125,                0.80372,                 0.7614,                0.80481,                0.64468,                0.83846,                0.77275,                 1.0577,             0.00059009,             0.00059009,             0.00059009
                     49,                0.74299,                0.57922,                  1.003,                 0.8764,                 0.7509,                 0.8202,                0.65687,                0.84814,                0.76486,                 1.0581,             0.00058629,             0.00058629,             0.00058629
                     50,                0.74097,                0.56342,                0.99443,                0.78908,                0.78608,                0.81687,                0.64727,                0.82614,                0.74939,                 1.0468,             0.00058248,             0.00058248,             0.00058248
                     51,                0.75465,                0.57339,                 1.0017,                0.84057,                0.77665,                0.81631,                0.64669,                0.83204,                 0.7721,                 1.0563,             0.00057867,             0.00057867,             0.00057867
                     52,                0.73769,                0.56381,                0.99247,                0.82463,                0.74053,                0.80781,                0.64119,                0.82817,                0.75143,                 1.0506,             0.00057487,             0.00057487,             0.00057487
                     53,                0.73411,                0.56569,                0.99693,                0.82328,                0.75804,                 0.8142,                0.64052,                0.83469,                0.75061,                 1.0478,             0.00057106,             0.00057106,             0.00057106
                     54,                0.73273,                 0.5719,                0.99809,                0.81628,                 0.7637,                0.82738,                0.65264,                0.83899,                0.74892,                 1.0563,             0.00056725,             0.00056725,             0.00056725
                     55,                0.72912,                0.56332,                0.99123,                0.81435,                0.76993,                0.82441,                0.65945,                 0.8318,                0.73583,                 1.0585,             0.00056345,             0.00056345,             0.00056345
                     56,                0.72011,                0.54831,                0.98418,                0.83333,                0.77587,                0.82195,                0.66369,                0.81815,                0.75846,                 1.0416,             0.00055964,             0.00055964,             0.00055964
                     57,                0.71586,                0.55463,                0.98242,                0.85386,                 0.7573,                0.81867,                 0.6526,                0.82492,                0.75944,                 1.0456,             0.00055583,             0.00055583,             0.00055583
