                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.91629,                0.75027,                 1.2186,                0.92471,                0.81721,                0.90194,                 0.6112,                 1.0663,                0.71103,                 1.3914,              0.0016733,              0.0016733,              0.0016733
                     35,                0.91273,                 0.7405,                  1.203,                0.93212,                  0.827,                0.92312,                0.64989,                 1.0684,                0.71886,                  1.328,              0.0016634,              0.0016634,              0.0016634
                     36,                0.92004,                0.76041,                 1.2138,                0.87085,                0.83323,                0.90077,                0.62783,                 1.0557,                0.73757,                 1.3419,              0.0016535,              0.0016535,              0.0016535
                     37,                0.86169,                0.70656,                 1.1795,                0.87989,                0.83567,                0.90457,                 0.6407,                 1.0233,                0.70801,                 1.3058,              0.0016436,              0.0016436,              0.0016436
                     38,                0.87639,                0.69403,                 1.1803,                0.91395,                0.86692,                0.92614,                0.67536,                0.97635,                0.67089,                 1.3031,              0.0016337,              0.0016337,              0.0016337
                     39,                0.88598,                0.69478,                 1.1853,                0.93642,                0.86798,                0.93276,                 0.6782,                 1.0115,                  0.648,                 1.2968,              0.0016238,              0.0016238,              0.0016238
                     40,                0.88397,                0.67462,                  1.187,                0.90712,                0.88213,                0.92795,                0.67524,                0.98111,                0.66848,                 1.2944,              0.0016139,              0.0016139,              0.0016139
                     41,                0.85544,                0.68284,                 1.1834,                0.91539,                0.86122,                0.92868,                0.69169,                0.94007,                0.62094,                 1.2534,               0.001604,               0.001604,               0.001604
                     42,                 0.8501,                0.68336,                 1.1613,                0.93838,                0.84601,                0.91674,                0.67872,                0.96958,                0.64041,                 1.2564,              0.0015941,              0.0015941,              0.0015941
                     43,                0.83316,                0.67478,                 1.1687,                0.90917,                0.85634,                0.92506,                0.68771,                0.92226,                0.65469,                 1.2598,              0.0015842,              0.0015842,              0.0015842
                     44,                 0.8472,                0.68936,                 1.1762,                0.94046,                0.82319,                0.91395,                0.67913,                0.96494,                0.65136,                 1.2786,              0.0015743,              0.0015743,              0.0015743
                     45,                0.81253,                0.65281,                 1.1439,                0.93933,                0.86122,                0.93406,                0.68851,                0.93397,                0.61243,                 1.2602,              0.0015644,              0.0015644,              0.0015644
                     46,                0.80063,                0.64317,                  1.139,                0.94029,                0.84411,                0.91971,                0.67416,                0.98534,                0.64172,                 1.3083,              0.0015545,              0.0015545,              0.0015545
                     47,                0.83319,                0.65441,                 1.1507,                0.91696,                0.85171,                0.92022,                0.67279,                0.94546,                0.62186,                 1.2812,              0.0015446,              0.0015446,              0.0015446
                     48,                 0.8191,                0.64785,                  1.146,                0.93477,                0.87833,                0.93995,                0.69203,                0.94664,                0.58097,                 1.2442,              0.0015347,              0.0015347,              0.0015347
                     49,                0.81039,                0.62637,                 1.1429,                0.93019,                0.85171,                0.92503,                0.69051,                0.94512,                0.63456,                 1.2416,              0.0015248,              0.0015248,              0.0015248
                     50,                0.82392,                0.63633,                  1.146,                 0.9256,                0.86122,                0.93435,                0.68768,                0.92305,                0.59436,                 1.2678,              0.0015149,              0.0015149,              0.0015149
                     51,                0.79991,                0.62161,                 1.1392,                0.93722,                0.87976,                0.93826,                0.69598,                0.92251,                0.58921,                 1.2708,               0.001505,               0.001505,               0.001505
                     52,                 0.7976,                0.62166,                 1.1412,                0.93464,                0.88403,                0.94782,                0.71089,                0.91744,                0.57871,                 1.2407,              0.0014951,              0.0014951,              0.0014951
                     53,                0.78388,                0.61861,                 1.1328,                0.94187,                0.86252,                0.93382,                0.70114,                0.90444,                0.60067,                 1.2218,              0.0014852,              0.0014852,              0.0014852
                     54,                0.76257,                0.60546,                 1.1175,                0.95181,                0.87072,                0.94516,                0.70071,                0.91864,                0.57708,                 1.2391,              0.0014753,              0.0014753,              0.0014753
                     55,                0.77125,                0.60982,                 1.1199,                0.92933,                0.87507,                 0.9379,                0.68014,                 0.9596,                0.60682,                 1.2497,              0.0014654,              0.0014654,              0.0014654
                     56,                0.79379,                0.61597,                 1.1407,                0.94638,                 0.8724,                0.94841,                0.70431,                0.89386,                0.55801,                 1.2508,              0.0014555,              0.0014555,              0.0014555
                     57,                0.77932,                0.60424,                 1.1254,                0.91821,                0.86502,                0.94242,                0.70843,                 0.9044,                0.56963,                 1.2289,              0.0014456,              0.0014456,              0.0014456
                     58,                0.77138,                0.59997,                 1.1234,                0.92813,                0.88383,                0.93785,                0.71209,                0.88873,                0.57098,                 1.2168,              0.0014357,              0.0014357,              0.0014357
                     59,                0.75397,                0.60329,                 1.1046,                0.94492,                0.88068,                0.93943,                0.71414,                0.87327,                0.54819,                 1.2402,              0.0014258,              0.0014258,              0.0014258
                     60,                 0.7392,                0.57313,                 1.0934,                0.93391,                0.85972,                0.93912,                0.70863,                0.88456,                0.58457,                 1.2292,              0.0014159,              0.0014159,              0.0014159
                     61,                   0.75,                0.60127,                 1.1103,                0.94472,                0.87717,                0.93722,                0.70611,                0.89785,                0.61351,                 1.2184,               0.001406,               0.001406,               0.001406
                     62,                0.73239,                0.57438,                 1.0982,                 0.9143,                0.86502,                0.92997,                0.70845,                0.89642,                0.58213,                 1.2484,              0.0013961,              0.0013961,              0.0013961
